iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
148,0.006622516556291391,0.006622516556291391,0.006622516556291391,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
149,0.006578947368421052,0.006578947368421052,0.006578947368421052,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
150,0.006535947712418301,0.006535947712418301,0.006535947712418301,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
151,0.006493506493506494,0.006493506493506494,0.006493506493506494,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
152,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
153,0.00641025641025641,0.00641025641025641,0.00641025641025641,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
154,0.006369426751592357,0.006369426751592357,0.006369426751592357,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
155,0.006329113924050633,0.006329113924050633,0.006329113924050633,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
156,0.006289308176100629,0.006289308176100629,0.006289308176100629,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
157,0.00625,0.00625,0.00625,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
158,0.006211180124223602,0.006211180124223602,0.006211180124223602,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
159,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
160,0.006134969325153374,0.006134969325153374,0.006134969325153374,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
161,0.006097560975609756,0.006097560975609756,0.006097560975609756,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
